6行：< void , 285 >
6行：< main , 314 >
6行：< ( , 40 >
6行：< ) , 41 >
6行：< { , 123 >
7行：< int , 309 >
7行：< i , 314 >
7行：< ; , 59 >
8行：< int , 309 >
8行：< j , 314 >
8行：< ; , 59 >
9行：< float , 309 >
9行：< v , 314 >
9行：< ; , 59 >
10行：< float , 309 >
10行：< x , 314 >
10行：< ; , 59 >
11行：< int , 309 >
11行：< [ , 91 >
11行：< 100 , 304 >
11行：< ] , 93 >
11行：< arr , 314 >
11行：< ; , 59 >
13行：< i , 314 >
13行：< = , 61 >
13行：< 100 , 304 >
13行：< ; , 59 >
14行：< j , 314 >
14行：< = , 61 >
14行：< 200 , 304 >
14行：< ; , 59 >
15行：< v , 314 >
15行：< = , 61 >
15行：< 200.12302 , 305 >
15行：< ; , 59 >
16行：< x , 314 >
16行：< = , 61 >
16行：< 123.12299 , 305 >
16行：< ; , 59 >
18行：< while , 287 >
18行：< ( , 40 >
18行：< 1 , 304 >
18行：< ) , 41 >
18行：< { , 123 >
19行：< if , 271 >
19行：< ( , 40 >
19行：< i , 314 >
19行：< >= , 300 >
19行：< j , 314 >
19行：< ) , 41 >
19行：< { , 123 >
20行：< break , 257 >
20行：< ; , 59 >
21行：< } , 125 >
22行：< j , 314 >
22行：< = , 61 >
22行：< 10 , 304 >
22行：< ; , 59 >
23行：< i , 314 >
23行：< = , 61 >
23行：< j , 314 >
23行：< + , 43 >
23行：< 1 , 304 >
23行：< ; , 59 >
24行：< do , 263 >
24行：< i , 314 >
24行：< = , 61 >
24行：< i , 314 >
24行：< + , 43 >
24行：< 1 , 304 >
24行：< ; , 59 >
24行：< while , 287 >
24行：< ( , 40 >
24行：< i , 314 >
24行：< < , 60 >
24行：< 10 , 304 >
24行：< ) , 41 >
24行：< ; , 59 >
25行：< } , 125 >
26行：< } , 125 >
